Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	PD62027a	PD62029c	PD62030a	PD62031a	PD62033a	PD62034a	PD62037a	PD62037c	PD62038a	PD62038c	PD62039a	PD62041a	PD62042a	PD62043a	PD62046a	PD62047a	PD62049a	PD62051a	
Deletion Peak 14	17q21.2 	chr17:41130861-41349437(probes 239027:239051)    	chr17:41140542-41315765(probes 239028:239047)    	chr17:41026884-41450140(probes 239012:239068)    	0.00019142	 0.00019142		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	
Deletion Peak 15	19p13.3 	chr19:3936472-3976600(probes 250948:250956)        	chr19:3944827-3976600(probes 250949:250956)        	chr19:3961536-3985781(probes 250951:250957)        	0.13998	    0.13731		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
Deletion Peak 16	19q13.43	chr19:58488848-58617616(probes 256555:256566)    	chr19:58497320-58617616(probes 256556:256566)    	chr19:58514262-58617616(probes 256558:256566)    	0.19434	    0.19131		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak 1 - CN values	10q22.3	chr10:76314368-82242720(probes 168969:169526)	chr10:76324343-80634234(probes 168970:169399)	chr10:76324343-80664089(probes 168970:169402)	0.11037	 0.11037		Actual Copy Change Given	0.049394	0.49929	-0.041948	0.026642	-0.0048505	-0.0070501	0.022111	0.02901	3.6569	0.037711	-0.41144	0.4806	-0.076106	0.017971	-0.032278	-0.0079287	-0.03218	-0.23998	
Deletion Peak  1 - CN values	1p36.33 	chr1:1-30726027(probes 1:3018)                      	chr1:2165656-2225261(probes 146:151)                	chr1:1-30745976(probes 1:3020)                      	0.015956	   0.015956		Actual Copy Change Given	0.12634	0.04013	-0.25059	0.0075562	-0.013888	-0.79301	0.089257	0.073916	0.023746	0.0084036	-0.47337	-0.84195	0.13352	0.04397	-0.025408	0.0041809	-0.73312	-0.25526	
Deletion Peak  2 - CN values	1p13.1  	chr1:116549480-116763935(probes 11629:11651)    	chr1:116559436-116724037(probes 11630:11647)    	chr1:116579346-116724037(probes 11632:11647)    	0.099327	   0.098411		Actual Copy Change Given	-0.032355	0.0047808	-0.90979	0.0075562	-0.013888	0	-0.042322	0.0094748	0.023746	0.0084036	0.039909	0.086485	0.33077	0.019679	-0.025408	0.0041809	0.27644	-0.25526	
Deletion Peak  3 - CN values	1q23.3  	chr1:160578601-160801970(probes 13857:13878)    	chr1:160598117-160766139(probes 13859:13874)    	chr1:160425148-160841279(probes 13839:13885)    	0.033205	   0.032499		Actual Copy Change Given	-0.35048	1.029	-0.056514	-0.1998	-0.013888	0	0.019874	0.0020783	-0.45388	-0.52342	-0.55735	-0.5414	-0.036229	0.019679	-0.0013514	0.0041809	0.098144	-0.25526	
Deletion Peak  4 - CN values	5q31.2  	chr5:139622839-139858012(probes 99167:99177)    	chr5:139632835-139858012(probes 99168:99177)    	chr5:139662823-139809424(probes 99171:99172)    	0.13731	    0.13731		Actual Copy Change Given	-0.004885	-0.12065	-0.28385	0.0088797	-0.0044499	-0.0017765	-0.055212	-0.035112	0	-0.32075	-0.57195	-0.4457	-0.5198	-0.066957	-0.82861	-0.018793	-1.2743	-0.25005	
Deletion Peak  5 - CN values	5q33.3  	chr5:157055474-157492852(probes 100924:100969)  	chr5:157075466-157492852(probes 100926:100969)  	chr5:157095459-157502848(probes 100928:100970)  	0.011213	   0.011213		Actual Copy Change Given	-0.004885	-0.073912	-0.28385	-0.019418	-0.0044499	-0.0017765	-0.055212	-0.048509	0	-0.32075	-1.0103	-0.41758	-0.862	-0.066957	-0.84081	-0.018793	-0.77006	-0.496	
Deletion Peak  6 - CN values	6p22.2  	chr6:26174620-26285436(probes 105961:105972)      	chr6:26184256-26285436(probes 105962:105972)      	chr6:25969408-27275395(probes 105932:106032)      	9.7209e-09	 9.7209e-09		Actual Copy Change Given	-0.68475	0.097887	-1.015	-1.0686	0.16321	-0.0079809	-1.2614	-1.1961	-0.021692	-0.029445	-0.023783	-0.92905	1.7573	0.00090387	-0.38749	-0.020507	0.13587	-0.021442	
Deletion Peak  7 - CN values	9p22.1  	chr9:18899314-19069594(probes 151464:151479)      	chr9:18908868-19069594(probes 151465:151479)      	chr9:18889586-19079593(probes 151462:151480)      	0.13074	    0.13003		Actual Copy Change Given	0.01011	0.071819	0.04455	-0.0059457	-0.0081439	0.020248	-0.013668	-0.00055917	0.018357	0.14611	0.55258	0.026059	-0.6346	0.029583	1.5618	0.0076017	-1.2929	0.026037	
Deletion Peak  8 - CN values	11p15.4 	chr11:6600883-6719547(probes 175349:175363)        	chr11:6608802-6701463(probes 175350:175361)        	chr11:6632560-6710505(probes 175353:175362)        	0.09493	   0.098411		Actual Copy Change Given	-0.0049251	-0.010492	-0.60848	-0.40772	-0.0041793	0.0082042	0.036217	0.034448	0.052127	0.0061975	-0.016215	-0.6741	-0.064781	-0.36179	-0.0082557	0.015774	-0.065267	0.067839	
Deletion Peak  9 - CN values	11q22.3 	chr11:108092537-108384626(probes 185071:185100)	chr11:108102503-108384626(probes 185072:185100)	chr11:108132401-108152194(probes 185075:185076)	0.13731	    0.13731		Actual Copy Change Given	0.0050464	-0.062886	0.21805	-0.030656	-0.0041793	0.0082042	0.0071817	-0.016092	0.0025591	-0.020888	-0.54243	-0.95056	-0.064781	-0.068229	-0.0082557	0.015774	0.0045941	-0.23095	
Deletion Peak 10 - CN values	12p13.31	chr12:6936741-6971023(probes 188421:188430)        	chr12:6937981-6971023(probes 188422:188430)        	chr12:6937981-7001128(probes 188422:188435)        	0.0042587	  0.0042587		Actual Copy Change Given	0	0.34017	-0.81695	-0.13291	0.17165	0.0072728	-0.90277	-0.93336	-0.023332	-0.020088	-0.11212	-0.70267	0.018777	-0.049581	-0.0030362	-0.03124	0.041361	-0.24835	
Deletion Peak 11 - CN values	14q32.33	chr14:105671208-105919428(probes 219239:219289)	chr14:105856025-105863868(probes 219266:219267)	chr14:105707885-105864733(probes 219243:219277)	0.0011972	  0.0011972		Actual Copy Change Given	0.21235	-0.051256	1.1017	-0.125	0.17257	0.011485	-0.80535	-1.017	-0.227	-0.085619	-0.82523	0.044812	-0.014723	0.01833	0.078103	-0.0036985	-0.0049036	-0.21327	
Deletion Peak 12 - CN values	15q25.1 	chr15:81195643-81322584(probes 225387:225403)    	chr15:81205639-81322584(probes 225388:225403)    	chr15:81269557-81337965(probes 225392:225407)    	0.0033132	  0.0033132		Actual Copy Change Given	0.043999	0.017513	-0.21062	-0.39092	-0.01096	-0.0047749	-0.77706	-0.72526	-0.51807	-0.6422	0.042129	0.52146	0.029804	0.077003	-0.088262	0.0061228	0.020075	-0.21347	
Deletion Peak 13 - CN values	17p13.1 	chr17:8127812-8205458(probes 236167:236178)        	chr17:8127812-8205458(probes 236167:236178)        	chr17:8117820-8260131(probes 236165:236188)        	0.0011406	  0.0011406		Actual Copy Change Given	-0.78255	-0.13536	-0.026109	-0.018012	-0.029075	0.021904	-0.88885	-0.84135	-0.30893	-0.29125	-0.026267	-0.87654	0.34537	-0.42677	-0.077202	-0.022949	0.045499	0.0468	
Deletion Peak 14 - CN values	17q21.2 	chr17:41130861-41349437(probes 239027:239051)    	chr17:41140542-41315765(probes 239028:239047)    	chr17:41026884-41450140(probes 239012:239068)    	0.00019142	 0.00019142		Actual Copy Change Given	0.010069	0.1023	-0.052445	-0.018012	-0.029075	0.021904	0.045564	0.045196	-0.50623	-0.059451	-0.91614	-0.46991	-0.42279	-0.4003	-0.077202	-0.022949	-1.1278	0.0468	
Deletion Peak 15 - CN values	19p13.3 	chr19:3936472-3976600(probes 250948:250956)        	chr19:3944827-3976600(probes 250949:250956)        	chr19:3961536-3985781(probes 250951:250957)        	0.13998	    0.13731		Actual Copy Change Given	0.16808	-0.12192	-0.73014	0.049526	0.16589	0.023292	0.061411	0.10274	-0.088618	-0.072919	-0.54835	-0.061762	-0.57379	-0.072614	0.58507	-0.032187	0.096393	0.060605	
Deletion Peak 16 - CN values	19q13.43	chr19:58488848-58617616(probes 256555:256566)    	chr19:58497320-58617616(probes 256556:256566)    	chr19:58514262-58617616(probes 256558:256566)    	0.19434	    0.19131		Actual Copy Change Given	-0.1008	-0.15439	-0.79634	0.043629	0.16589	0.023292	-0.68998	-0.22357	-0.054137	-0.094824	0.035431	-0.031606	-0.005795	-0.072614	-0.060097	-0.032187	0.026268	0.060605	
