cytoband	6p22.2	17q21.2	17p13.1	14q32.33	15q25.1	12p13.31	5q33.3	1p36.33	1q23.3	1p13.1	11p15.4	9p22.1	5q31.2	11q22.3	19p13.3	19q13.43	
	HIST1H4E	KRTAP9-7						CDC42									
	HIST1H4G	KRTAP16-1						CD52									
	HIST1H3F	KRTAP9-6						RCC1									
		KRTAP29-1						CLCN6									
								CLCNKA									
								CLCNKB									
								CNR2									
								CORT									
								DDOST									
								DFFA									
								DFFB									
								DVL1									
								E2F2									
								ECE1									
								MEGF6									
								EPHA2									
								ENO1									
								EPB41									
								EPHA8									
								EPHB2									
								EXTL1									
								EYA3									
								FGR									
								MTOR									
								FUCA1									
								IFI6									
								GABRD									
								GALE									
								GNB1									
								SFN									
								GPR3									
								ZBTB48									
								HMGN2									
								HMGCL									
								HSPG2									
								HTR1D									
								HTR6									
								ID3									
								TNFRSF9									
								STMN1									
								MATN1									
								MFAP2									
								MTHFR									
								NBL1									
								NPPA									
								NPPB									
								OPRD1									
								PAFAH2									
								PAX7									
								PEX10									
								PEX14									
								PGD									
								PIK3CD									
								PLA2G2A									
								PLA2G5									
								PLOD1									
								EXOSC10									
								PPP1R8									
								PRKCZ									
								PTAFR									
								RAP1GAP									
								RHCE									
								RHD									
								RNU1-4									
								SNORA73A									
								RPA2									
								RPL11									
								RPL22									
								RPS6KA1									
								RSC1A1									
								SCNN1D									
								SDHB									
								SRSF4									
								SKI									
								SLC2A5									
								SLC9A1									
								SRM									
								TAF12									
								TCEA3									
								TCEB3									
								TNFRSF1B									
								TP73									
								TNFRSF4									
								ZBTB17									
								SLC30A2									
								LUZP1									
								PRDM2									
								ARID1A									
								SNHG3									
								NR0B2									
								MMP23B									
								MMP23A									
								KCNAB2									
								FCN3									
								AKR7A2									
								ALDH4A1									
								EIF4G3									
								TNFRSF25									
								TNFRSF14									
								TNFRSF18									
								PER3									
								MAP3K6									
								DHRS3									
								VAMP3									
								THEMIS2									
								H6PD									
								ISG15									
								PLCH2									
								CROCC									
								CEP104									
								KLHL21									
								SLC35E2									
								ZBTB40									
								MFN2									
								PTPRU									
								CELA3A									
								WASF2									
								ANGPTL7									
								HNRNPR									
								SRRM1									
								CNKSR1									
								UBE4B									
								MAD2L2									
								PDPN									
								GMEB1									
								NUDC									
								MASP2									
								SRSF10									
								UTS2									
								RER1									
								RCAN3									
								MST1P2									
								MST1L									
								PADI2									
								LYPLA2									
								PARK7									
								CTRC									
								ACOT7									
								DNAJC8									
								CLSTN1									
								AKR7A3									
								SPEN									
								KDM1A									
								WDTC1									
								EMC1									
								KIF1B									
								PLEKHM2									
								OTUD3									
								KAZN									
								CAMTA1									
								DNAJC16									
								UBR4									
								ATP13A2									
								TARDBP									
								CELA3B									
								ICMT									
								PADI4									
								TMEM50A									
								STX12									
								CLIC4									
								SYF2									
								CHD5									
								SZRD1									
								LDLRAP1									
								NOC2L									
								FBXO2									
								FBXO6									
								PLA2G2D									
								SNORA73B									
								RNU11									
								RNU6-1									
								RNU5E-1									
								RNU1-3									
								RNU1-2									
								RNU1-1									
								HSPB7									
								ARHGEF16									
								AHDC1									
								SMPDL3B									
								LINC00339									
								SSU72									
								UBIAD1									
								PADI1									
								PLA2G2E									
								WRAP73									
								SLC45A1									
								HP1BP3									
								CELA2B									
								ZNF593									
								MECR									
								SDF4									
								MRTO4									
								YTHDF2									
								PADI3									
								ERRFI1									
								WNT4									
								FBXO42									
								RNF186									
								MXRA8									
								HES2									
								GPN2									
								FBLIM1									
								MED18									
								PQLC2									
								CASZ1									
								TRNAU1AP									
								CPSF3L									
								C1orf159									
								AURKAIP1									
								MRPL20									
								AIM1L									
								TMEM51									
								XKR8									
								ARHGEF10L									
								VPS13D									
								ATAD3A									
								TMEM57									
								PANK4									
								CAMK2N1									
								ASAP3									
								PNRC2									
								PIGV									
								NBPF1									
								NECAP2									
								DNAJC11									
								RCC2									
								AJAP1									
								MTFR1L									
								CTNNBIP1									
								RSRP1									
								AGTRAP									
								PITHD1									
								MAN1C1									
								NIPAL3									
								SEPN1									
								TP73-AS1									
								PLEKHG5									
								LRRC47									
								DISP3									
								KIF17									
								HES4									
								GRHL3									
								IL22RA1									
								MIIP									
								CELA2A									
								GPATCH3									
								PRDM16									
								PLA2G2F									
								CEP85									
								NMNAT1									
								VWA1									
								PINK1									
								PRAMEF1									
								PRAMEF2									
								NADK									
								PHACTR4									
								AUNIP									
								EFHD2									
								MMEL1									
								RSG1									
								OR4F5									
								MUL1									
								NOL9									
								LIN28A									
								AGMAT									
								LINC00115									
								MORN1									
								FAM110D									
								DHDDS									
								GPR157									
								SPSB1									
								CPTP									
								ZNF436									
								TAS1R2									
								TAS1R1									
								OR4F16									
								ACTL8									
								CCNL2									
								SH3BGRL3									
								SESN2									
								ESPN									
								TAS1R3									
								ATAD3B									
								TMEM222									
								PLEKHN1									
								USP48									
								NBPF3									
								ZDHHC18									
								SLC25A33									
								DDI2									
								LZIC									
								TRIM63									
								PERM1									
								CROCCP2									
								SYTL1									
								IGSF21									
								SNHG12									
								CFAP74									
								KIAA2013									
								THAP3									
								STPG1									
								UBXN11									
								C1orf158									
								FBXO44									
								ATPIF1									
								CROCCP3									
								FHAD1									
								LOC115110									
								RAB42									
								FAM46B									
								RBP7									
								ACAP3									
								UBE2J2									
								KDF1									
								LRRC38									
								AADACL3									
								PUSL1									
								B3GALT6									
								IFFO2									
								TPRG1L									
								FAM213B									
								MYOM3									
								KLHDC7A									
								VWA5B1									
								UBXN10									
								ARHGEF19									
								ACTRT2									
								MIB2									
								C1orf127									
								SAMD11									
								LOC148413									
								PHF13									
								LINC00337									
								CCDC27									
								ZNF436-AS1									
								PDIK1L									
								C1orf64									
								SLC2A7									
								CALML6									
								IFNLR1									
								FAM43B									
								PAQR7									
								FAM76A									
								TMEM201									
								FAAP20									
								TMEM51-AS1									
								ATAD3C									
								AKR7L									
								LINC01342									
								TTLL10									
								TMCO4									
								ZNF683									
								MDS2									
								NPHP4									
								C1orf167									
								FAM41C									
								LOC284632									
								LOC284661									
								SLC25A34									
								ESPNP									
								C1orf174									
								KLHL17									
								TMEM240									
								TMEM52									
								LINC01141									
								AADACL4									
								PRAMEF5									
								HNRNPCL1									
								PRAMEF10									
								FAM131C									
								PADI6									
								DRAXIN									
								SPATA21									
								AGRN									
								CENPS									
								CATSPER4									
								GPR153									
								FAM132A									
								HES5									
								SMIM1									
								RNF207									
								TMEM82									
								TRNP1									
								CD164L2									
								HES3									
								PRAMEF12									
								PRAMEF8									
								PRAMEF18									
								PRAMEF17									
								PLA2G2C									
								TMEM200B									
								FAM87B									
								PRAMEF4									
								PRAMEF13									
								SH2D5									
								NCMAP									
								RNF223									
								LDLRAD2									
								MIR200A									
								MIR200B									
								MIR34A									
								LINC00982									
								PRAMEF11									
								PRAMEF6									
								HNRNPCL2									
								UQCRHL									
								MINOS1									
								ANKRD65									
								PRAMEF7									
								PRAMEF25									
								MIR429									
								LINC01128									
								TMEM88B									
								FNDC10									
								RPS14P3									
								ACTG1P20									
								PIK3CD-AS1									
								PRAMEF26									
								PRAMEF33P									
								PRAMEF19									
								PRAMEF20									
								FAM138A									
								LACTBL1									
								LOC646471									
								PRAMEF34P									
								HNRNPCL3									
								PRAMEF22									
								PRAMEF15									
								WASH7P									
								FAM138C									
								SCARNA1									
								FAM138D									
								SNORA44									
								SNORA61									
								SNORA59A									
								SNORA16A									
								SNORD99									
								MIR551A									
								C1orf195									
								CDK11A									
								SLC35E2B									
								LINC01346									
								C1orf234									
								PRAMEF14									
								FAM231A									
								FAM231C									
								FLJ37453									
								LOC729737									
								OR4F29									
								LOC100129534									
								LOC100130417									
								LOC100132062									
								LOC100132147									
								FAM231B									
								LOC100133331									
								LINC01134									
								DDX11L1									
								TTC34									
								LOC100288069									
								MIR1256									
								MIR1976									
								MIR1290									
								MIR1302-2									
								NPPA-AS1									
								MIR1302-9									
								MIR1302-10									
								MIR3115									
								MIR4253									
								MIR1302-11									
								MIR4251									
								MIR1273D									
								MIR4252									
								MIR3917									
								MIR3675									
								LOC100505887									
								ENO1-AS1									
								LOC100506022									
								LOC100506730									
								LOC100506801									
								TCEB3-AS1									
								LOC100506985									
								APITD1-CORT									
								MINOS1-NBL1									
								MIR4695									
								MIR4419A									
								MIR3972									
								MIR4425									
								MIR4684									
								MIR4689									
								MIR5096									
								MIR4418									
								MIR4632									
								MIR4417									
								MIR378F									
								RCAN3AS									
								MIR5697									
								PINK1-AS									
								MTOR-AS1									
								LINC01355									
								LOC100996583									
								HNRNPCL4									
								LOC101927876									
								LOC101927895									
								UBXN10-AS1									
								LOC101928043									
								LOC101928163									
								LOC101928303									
								LOC101928324									
								LOC101928460									
								LOC101928626									
								LOC101928728									
								PIK3CD-AS2									
								LOC101929181									
								LOC101929406									
								PRAMEF27									
								RNU6-7									
								RNU6-8									
								MIR6084									
								MIR6723									
								MIR6726									
								MIR6727									
								MIR6728									
								MIR6731									
								MIR7846									
								MIR6859-2									
								MIR6859-3									
								MIR6127									
								MIR6730									
								MIR6808									
								MIR6859-1									
								MIR6729									
								LOC102724312									
								LOC102724450									
								LOC102724539									
								LOC102724552									
								LOC102724571									
								LOC102724659									
								RNU6-2									
								LOC105376736									
								LOC105376805									
								LOC105378591									
								LOC105378614									
								MIR34AHG									
								SNORD128									
